;Pais;Region;Poblacion;Area (sq. mi.);PIB ($ per capita);Densidad de Poblacion (por sq. mi.);Migracion Neta;Mortalidad Infantil (por 1000 nacimientos);Alfabetizacion (%);Telefonos (por 1000);Tasa de Natalidad;Tasa de Mortalidad;Agricultura;Industria;Servicios
37;China ;ASIA (EX. NEAR EAST)         ;1313973713;9596960;5000.0;136,9;-0,4;24,18;90,9;266,7;13,25;6,97;0,125;0,473;0,403
38;Colombia ;LATIN AMER. & CARIB    ;43593035;1138910;6300.0;38,3;-0,31;20,97;92,5;176,2;20,48;5,58;0,125;0,342;0,533
39;Comoros ;SUB-SAHARAN AFRICA                 ;690948;2170;700.0;318,4;0;74,93;56,5;24,5;36,93;8,2;0,4;0,04;0,56
40;Congo, Dem. Rep. ;SUB-SAHARAN AFRICA                 ;62660551;2345410;700.0;26,7;0;94,69;65,5;0,2;43,69;13,27;0,55;0,11;0,34
41;Congo, Repub. of the ;SUB-SAHARAN AFRICA                 ;3702314;342000;700.0;10,8;-0,17;93,86;83,8;3,7;42,57;12,93;0,062;0,57;0,369
42;Costa Rica ;LATIN AMER. & CARIB    ;4075261;51100;9100.0;79,8;0,51;9,95;96,0;340,7;18,32;4,36;0,088;0,299;0,614
43;Cote d'Ivoire ;SUB-SAHARAN AFRICA                 ;17654843;322460;1400.0;54,8;-0,07;90,83;50,9;14,6;35,11;14,84;0,279;0,171;0,55
44;Cuba ;LATIN AMER. & CARIB    ;11382820;110860;2900.0;102,7;-1,58;6,33;97,0;74,7;11,89;7,22;0,055;0,261;0,684
45;Czech Republic ;EASTERN EUROPE                     ;10235455;78866;15700.0;129,8;0,97;3,93;99,9;314,3;9,02;10,59;0,034;0,393;0,573
46;Denmark ;WESTERN EUROPE                     ;5450661;43094;31100.0;126,5;2,48;4,56;100,0;614,6;11,13;10,36;0,018;0,246;0,735
47;Djibouti ;SUB-SAHARAN AFRICA                 ;486530;23000;1300.0;21,2;0;104,13;67,9;22,8;39,53;19,31;0,179;0,225;0,596
48;Dominica ;LATIN AMER. & CARIB    ;68910;754;5400.0;91,4;-13,87;14,15;94,0;304,8;15,27;6,73;0,177;0,328;0,495
49;Dominican Republic ;LATIN AMER. & CARIB    ;9183984;48730;6000.0;188,5;-3,22;32,38;84,7;97,4;23,22;5,73;0,112;0,306;0,582
50;Ecuador ;LATIN AMER. & CARIB    ;13547510;283560;3300.0;47,8;-8,58;23,66;92,5;125,6;22,29;4,23;0,07;0,312;0,618
51;Egypt ;NORTHERN AFRICA                    ;78887007;1001450;4000.0;78,8;-0,22;32,59;57,7;131,8;22,94;5,23;0,149;0,357;0,493
52;El Salvador ;LATIN AMER. & CARIB    ;6822378;21040;4800.0;324,3;-3,74;25,1;80,2;142,4;26,61;5,78;0,099;0,302;0,599
53;Equatorial Guinea ;SUB-SAHARAN AFRICA                 ;540109;28051;2700.0;19,3;0;85,13;85,7;18,5;35,59;15,06;0,03;0,906;0,062
54;Eritrea ;SUB-SAHARAN AFRICA                 ;4786994;121320;700.0;39,5;0;74,87;58,6;7,9;34,33;9,6;0,102;0,254;0,643
55;Estonia ;BALTICS                            ;1324333;45226;12300.0;29,3;-3,16;7,87;99,8;333,8;10,04;13,25;0,04;0,294;0,666
56;Ethiopia ;SUB-SAHARAN AFRICA                 ;74777981;1127127;700.0;66,3;0;95,32;42,7;8,2;37,98;14,86;0,475;0,099;0,426
57;Fiji ;OCEANIA                            ;905949;18270;5800.0;49,6;-3,14;12,62;93,7;112,6;22,55;5,65;0,089;0,135;0,776
58;Finland ;WESTERN EUROPE                     ;5231372;338145;27400.0;15,5;0,95;3,57;100,0;405,3;10,45;9,86;0,028;0,295;0,676
59;France ;WESTERN EUROPE                     ;60876136;547030;27600.0;111,3;0,66;4,26;99,0;586,4;11,99;9,14;0,022;0,214;0,764
60;French Guiana ;LATIN AMER. & CARIB    ;199509;91000;8300.0;2,2;6,27;12,07;83,0;255,6;20,46;4,88;0,066;0,156;0,778
61;French Polynesia ;OCEANIA                            ;274578;4167;17500.0;65,9;2,94;8,44;98,0;194,5;16,68;4,69;0,031;0,19;0,769
62;Gabon ;SUB-SAHARAN AFRICA                 ;1424906;267667;5500.0;5,3;0;53,64;63,2;27,4;36,16;12,25;0,061;0,592;0,348
63;Gambia, The ;SUB-SAHARAN AFRICA                 ;1641564;11300;1700.0;145,3;1,57;72,02;40,1;26,8;39,37;12,25;0,308;0,142;0,549
64;Georgia ;C.W. OF IND. STATES ;4661473;69700;2500.0;66,9;-4,7;18,59;99,0;146,6;10,41;9,23;0,172;0,275;0,553
65;Germany ;WESTERN EUROPE                     ;82422299;357021;27600.0;230,9;2,18;4,16;99,0;667,9;8,25;10,62;0,009;0,296;0,695
66;Ghana ;SUB-SAHARAN AFRICA                 ;22409572;239460;2200.0;93,6;-0,64;51,43;74,8;14,4;30,52;9,72;0,366;0,246;0,387
67;Greece ;WESTERN EUROPE                     ;10688058;131940;20000.0;81,0;2,35;5,53;97,5;589,7;9,68;10,24;0,054;0,213;0,733
68;Grenada ;LATIN AMER. & CARIB    ;89703;344;5000.0;260,8;-13,92;14,62;98,0;364,5;22,08;6,88;0,054;0,18;0,766
69;Guadeloupe ;LATIN AMER. & CARIB    ;452776;1780;8000.0;254,4;-0,15;8,6;90,0;463,8;15,05;6,09;0,15;0,17;0,68
